Name	Summary	ResType	Author	ResID	ResFile	URL	Version
hhSVGT	Uses SVG 'fonts' (included) to allow for scalable rotated, stylized text. Great for header titles or rotating text animations	widget	Hermann Hoch	community.livecode.hermann.svgtext.1.5.2	Widgets/community.livecode.hermann.svgtext.1.5.2.lce.b64	http://hh.on-rev.com/widgets/index-large.html	1.5.2
hhGrid	An excellent button grid control with plenty of options, thanks to Hermann Hoch	widget	Hermann Hoch	community.livecode.hermann.icongrid.2.1.1	Widgets/community.livecode.hermann.icongrid.2.1.1.lce.b64	http://hh.on-rev.com/widgets/index-large.html	2.1.1
Custom Checkbox	Checkbox control with additional options	widget	Hoerwi	org.openxtalk.hoerwi.customcheckbox.1.0.0	Widgets/org.openxtalk.hoerwi.customcheckbox.1.0.0.lce.b64		1.0.0
Tile Plus Widget	A modified version of the IDE's Tile widget	widget	OpenXTalk.org, LiveCode	org.openxtalk.widget.tileplus.1.0.0	Widgets/org.openxtalk.widget.tileplus.1.0.0.lce.b64		1.0.0
ApplePDFKit Widget	Widget that uses native Apple PDF Kit view	widget	Paul McClernan	org.openxtalk.applepdfkit.paulmcclernan.0.0.5	Widgets/org.openxtalk.applepdfkit.paulmcclernan.0.0.5.lce.b64	https://github.com/PaulMcClernan/	0.0.5
CoreMIDI Library	xTalk scripting for Apple's MIDI API	library	Paul McClernan	org.openxtalk.coremidi.paulmcclernan.0.6	Widgets/org.openxtalk.coremidi.paulmcclernan.0.6.lce.b64	https://github.com/PaulMcClernan/	0.6.0
XYGrid Widget	Clickable point X/Y grid Ccontrol	widget	Paul McClernan	org.openxtalk.paulmcclernan.xygrid.0.1.0	Widgets/org.openxtalk.paulmcclernan.xygrid.0.1.lce.b64	https://github.com/PaulMcClernan/	0.1.0
Eight-Way Widget	8-direction virtual-joystick control	widget	Paul McClernan	org.openxtalk.widget.eightway.0.1.0	Widgets/org.openxtalk.widget.eightway.0.1.lce.b64	https://github.com/PaulMcClernan/	0.1.0
Openxtalk.org macOS Native Tools	Included with OXT DPE, allows for addtional macOS native behaviors from your stacks, including native darkMode support	library	Paul McClernan	org.openxtalk.library.macosnativeapptools.1.0.2	Libraries/org.openxtalk.library.macosnativeapptools.lce.b64	https://github.com/PaulMcClernan/OpenXTalk-macOS-Native-App-Tools	1.0.2
Five Star Rating	A simple Five-star rating control	widget	Paul McClernan	org.openxtalk.widget.fivestar.1.0.1	Widgets/org.openxtalk.widget.fivestar.1.0.1.lce.b64	https://github.com/PaulMcClernan/	1.01
