Name	Author	Summary	ResType	Version	URL	ResFile	ResID
Openxtalk.org macOS Native Tools	Paul McClernan	Included with OXT DPE, allows for addtional macOS native behaviors from your stacks, including native darkMode support	library	1.0.2	https://github.com/PaulMcClernan/OpenXTalk-macOS-Native-App-Tools	Libraries/org.openxtalk.library.macosnativeapptools.1.0.2.lce.b64	org.openxtalk.library.macosnativeapptools
CoreMIDI library	Paul McClernan	A wrapper Lbrary Extension for using Apple's CoreMIDI API	library	0.6	https://github.com/PaulMcClernan/	Libraries/org.openxtalk.coremidi.paulmcclernan.lce.b64	org.openxtalk.coremidi.paulmcclernan
AVMIDIPlayerDemo	Paul McClernan	AVMIDIPlayer Embedded-Extension-loading Demo	Sample Stacks			Sample_Stacks/AVMIDIPlayerDemo.oxtstack	
Froggie	Andreas Strauch	Basic clone of the game Frogger	Sample Stacks			Sample_Stacks/Froggie.oxtstack	
LinePointsControl.oxtstack	Paul McClernan	Controlling enpd oints of a line graphic	Sample Stacks			Sample_Stacks/LinePointsControl.oxtstack	
Text Pattern Fill	Paul McClernan	Example Text-Label-graphic with image pattern	Sample Stacks			Sample_Stacks/Text Pattern Fill.oxtstack	
ListEntitlements	Paul McClernan	Get entitlements of a macOS Binary	Sample Stacks			Sample_Stacks/ListEntitlements.oxtstack	
BeachBalls	Bernd Niggemann	Animated beach balls using gradients	Sample Stacks			Sample_Stacks/BeachBalls.oxtstack	
CalendarPopUp v1.5	Tim Bobo	Pop-up Calendar Date Selector custom control	Sample Stacks	0	URL	Sample_Stacks/CalendarPopUp v1.5.oxtstack	
Tile Plus Widget	OpenXTalk.org, LiveCode	A modified version of the IDE's Tile widget	widget	1.0.0	https://github.com/PaulMcClernan/	Widgets/org.openxtalk.widget.tileplus.1.0.0.lce.b64	org.openxtalk.widget.tileplus
FiveStar Rating Widget	Paul McClernan	A simple Five-star rating control	widget	1.0.2	https://github.com/PaulMcClernan/	Widgets/org.openxtalk.widget.fivestar.1.0.2.lce.b64	org.openxtalk.widget.fivestar
Eight-Way Widget	Paul McClernan	8-direction virtual-joystick control	widget	0.1.0	https://github.com/PaulMcClernan/	Widgets/org.openxtalk.widget.eightway.0.1.lce.b64	org.openxtalk.widget.eightway
XYGrid Widget	Paul McClernan	Clickable point X/Y grid Ccontrol	widget	0.1.0	https://github.com/PaulMcClernan/	Widgets/org.openxtalk.paulmcclernan.xygrid.0.1.lce.b64	org.openxtalk.paulmcclernan.xygrid
Custom Checkbox	Hoerwi	Checkbox control with additional options	widget	1.0.0		Widgets/org.openxtalk.hoerwi.customcheckbox.1.0.0.lce.b64	org.openxtalk.hoerwi.customcheckbox
HH SVGText Widget	Hermann Hoch	Uses SVG 'fonts' (included) to allow for scalable rotated, stylized text. Great for header titles or rotating text animations	widget	1.5.3	http://hh.on-rev.com/widgets/index-large.html	Widgets/org.openxtalk.hh.svgtext.1.5.3.lce.b64	org.openxtalk.hh.svgtext
HH Oriented Text	Hermann Hoch and Cyril Pruszko	Oriented text is a widgetfor dispaying rotated text	widget	1.5.3	http://hh.on-rev.com/widgets/index-large.html	Widgets/org.openxtalk.hh.orientedtext.1.5.3.lce.b64	org.openxtalk.hh.orientedtext
HH Progress Bar	Hermann Hoch	A progress display that can display as circular or as a traditional rectangular bar	widget	1.3.0	http://hh.on-rev.com/widgets/index-large.html	Widgets/org.openxtalk.hermann.progress.1.3.0.lce.b64	org.openxtalk.hermann.progress
HH Poly Widget	Hermann Hoch	A control that alows for arbitrary editing points of polygons	widget	1.2.2	http://hh.on-rev.com/widgets/index-large.html	Widgets/org.openxtalk.hermann.polygon.1.2.2.lce.b64	org.openxtalk.hermann.polygon
HH Icon Grid	Hermann Hoch	An excellent button grid control with plenty of options, thanks to Hermann Hoch	widget	2.1.1	http://hh.on-rev.com/widgets/index-large.html	Widgets/org.openxtalk.hermann.icongrid.2.1.1.lce.b64	org.openxtalk.hermann.icongrid
HH Digital Clock	Hermann Hoch	A digital clock for displaying the current date and time	widget	1.2.1	http://hh.on-rev.com/widgets/index-large.html	Widgets/org.openxtalk.hermann.digitclock.1.2.1.lce.b64	org.openxtalk.hermann.digitclock
HH Date Picker	Hermann Hoch	A date picker control	widget	1.1.0	http://hh.on-rev.com/widgets/index-large.html	Widgets/org.openxtalk.hermann.datepicker.1.1.0.lce.b64	org.openxtalk.hermann.datepicker
HH Color Picker	Hermann Hoch	A color picker control with slliders	widget	1.0.2	http://hh.on-rev.com/widgets/index-large.html	Widgets/org.openxtalk.hermann.colorpicker.1.0.2.lce.b64	org.openxtalk.hermann.colorpicker
HH BaseClock	Hermann Hoch	A widget that displays the current time in a bases other than base 60	widget	1.0.5	http://hh.on-rev.com/widgets/index-large.html	Widgets/org.openxtalk.hermann.baseclock.1.0.5.lce.b64	org.openxtalk.hermann.baseclock
ApplePDFKit Widget	Paul McClernan	Widget that uses native Apple PDF Kit view	widget	0.0.5	https://github.com/PaulMcClernan/	Widgets/org.openxtalk.applepdfkit.paulmcclernan.0.0.5.lce.b64	org.openxtalk.applepdfkit.paulmcclernan
